username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
1953Lakshmi;2015-12-03 11:27;0;0;"# ChennaiMicro Hi! bro,wife,her parents,my mom 5 super seniors citizens stranded at house next to 15/1, 1cross Raghavan Colony, Ashok nagar.";Bengaluru- India;;;"672497290678919169";https://twitter.com/1953Lakshmi/status/672497290678919169
Yashwanth_Manju;2015-12-03 10:59;0;1;"# ChennaiFloods, A warning to Mankind... Time to change our attitudes towards nature, otherwise nature will replace us with a better option.";Bengaluru South- India;;;"672490323965165569";https://twitter.com/Yashwanth_Manju/status/672490323965165569
JeganArasu;2015-12-03 10:49;0;0;"Chennai corporation announces Emergency Contact Numbers for all regional zones in the city @ Actor_Siddharth spreadpic.twitter.com/HQUIh92Izm";Coimbatore- India;@;;"672487731918843905";https://twitter.com/JeganArasu/status/672487731918843905
JeganArasu;2015-12-03 10:40;0;0;"Chennai corporation announces Emergency Contact Numbers for all regional zones in the city @ actor_viishnupic.twitter.com/HQUIh92Izm";Coimbatore- India;@;;"672485610100158465";https://twitter.com/JeganArasu/status/672485610100158465
vinodvv;2015-12-03 10:38;0;0;"The minute u hear that drops of water falling again, There is an un rest un comfort. # ChennaiRains God pl have mercy on us.";Perambur Purasavakam- India;;;"672485023262445568";https://twitter.com/vinodvv/status/672485023262445568
3caad8fbd5b34c1;2015-12-03 10:36;0;0;"chennai nesapakkam LA...friend oda family matirukanga : Plz try 2 find the water level..Nd any rescue number n tat area plz... @ karthik";Tamil Nadu- India;@;;"672484498747973632";https://twitter.com/3caad8fbd5b34c1/status/672484498747973632
JeganArasu;2015-12-03 10:10;0;0;"@ gvprakash @ actor_viishnu @ NayantharaU @ jayam_mohanraja # VELACHERRY RESCUE 9445467179 9445190779 Official rescue team in velachery";Coimbatore- India;@ @ @ @;;"672478000634396672";https://twitter.com/JeganArasu/status/672478000634396672
JeganArasu;2015-12-03 10:04;16;3;"@ Sibi_Sathyaraj @ anirudhofficial @ VishalKOfficial @ Actor_Siddharth # VELACHERYRESCUE 9445467179 9445190779 Official rescue team in velachery";Coimbatore- India;@ @ @ @;;"672476540005814272";https://twitter.com/JeganArasu/status/672476540005814272
pk_preRF;2015-12-03 09:45;0;0;"# ChennaiFloods # ChennaiRainsHelp # chennairain # HelpChennai # Chennai # ChennaiRescue # ChennaiHelp # doctors # emergency pic.twitter.com/PR46PLs7Wh";Tiruppur- India;;;"672471682834018305";https://twitter.com/pk_preRF/status/672471682834018305
manugsnair;2015-12-03 09:40;0;0;"Stay strong # Chennai! # chennairains @OMR , Chennai https://www.instagram.com/p/-1qEFotYZR/";Mylapore Tiruvallike- India;@OMR;;"672470548589518848";https://twitter.com/manugsnair/status/672470548589518848
